Diabetic Retinopathy Stage,Diet Preference,Meal type,Recommended Food,Carbohydrate(g),Vitamins,Proteins(g),Minerals,Calories(kcal),Preferred Exercise,Avoid,Age Group,Region,BMI,Health Routine,Day of Week
Proliferative Retinopathy,Vegetarian,Lunch,"Bajra Roti, Daliya Upma, Kadhi with Rice, Lauki Curry, Paneer Cutlet, Vegetable Daliya",41,7,15,9,495,Brisk Walking,Sugary Foods,60+,West,29.1,"Eat small, frequent meals to maintain blood sugar levels.",Thursday
No retinopathy,Vegan,Lunch,"Bisi Bele Bath, Grilled Salmon, Jeera Rice, Mutton Seekh, Spinach Rice, Sweet Corn Salad",35,13,19,7,265,Yoga,Excess Salt,18-25,Central,28.4,"Include high-fiber foods like oats, vegetables, and legumes.",Monday
Proliferative Retinopathy,Vegan,Lunch,"Fish Korma, Methi Thepla, Pumpkin Soup, Ragi Dosa, Stuffed Capsicum, Vegetable Handvo",49,10,12,13,410,Yoga,Refined Flour,36-45,West,29,Stay hydrated and drink at least 8 glasses of water daily.,Saturday
No retinopathy,Vegan,Lunch,"Baingan Bharta, Fish Korma, Gatte ki Sabzi, Oats Chilla, Tomato Shorba, Turkey Kebab",44,12,9,12,508,Swimming,Sugary Foods,36-45,South,23.1,"Eat small, frequent meals to maintain blood sugar levels.",Monday
Mild Retinopathy,Vegan,Dinner,"Chia Pudding, Egg Paratha, Oats Idli, Spinach Khichdi, Tomato Shorba, Vegan Pancakes",43,11,12,5,479,Strength Training,Excess Salt,46-60,East,26.4,Practice mindfulness and stress-reducing activities.,Tuesday
No retinopathy,Non Vegetarian,Breakfast,"Boiled Egg Salad, Kadhi Pakora, Millet Porridge, Moong Dal Chilla, Sweet Corn Salad, Vegetable Daliya",37,7,21,5,412,Cycling,Sugary Foods,36-45,North,25,"Eat small, frequent meals to maintain blood sugar levels.",Wednesday
Mild Retinopathy,Non Vegetarian,Dinner,"Amaranth Dal, Fish Korma, Palak Kofta, Spinach Rice, Sweet Corn Salad, Tomato Shorba",53,12,18,6,407,Stretching,Soft Drinks,26-35,South,19.2,Keep a food diary to monitor your eating habits.,Sunday
No retinopathy,Non Vegetarian,Breakfast,"Avocado Toast, Chickpea Curry, Gatte ki Sabzi, Green Gram Curry, Rava Idli, Roasted Foxnuts",53,8,12,10,440,Yoga,Processed Foods,46-60,East,26,"Include high-fiber foods like oats, vegetables, and legumes.",Sunday
Moderate Retinopathy,Vegetarian,Breakfast,"Barley Risotto, Chole with Bhatura, Dhokla, Fish Curry, Masoor Dal, Paneer Bhurji",31,12,8,14,356,Stretching,Refined Flour,46-60,Central,25.7,Limit your intake of caffeine and alcohol.,Sunday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Chickpea Curry, Grilled Salmon, Lauki Kofta, Mutton Biryani, Mutton Seekh, Stuffed Tinda",52,8,13,12,490,Strength Training,Sugary Foods,46-60,West,18.5,"Eat small, frequent meals to maintain blood sugar levels.",Wednesday
Proliferative Retinopathy,Vegan,Breakfast,"Jeera Rice, Kadhi Pakora, Lauki Kofta, Oats Chilla, Spinach Khichdi, Vegetable Upma",36,12,20,12,449,Brisk Walking,Soft Drinks,36-45,North,24.4,Avoid skipping meals and maintain consistent meal timings.,Friday
Proliferative Retinopathy,Vegetarian,Snacks,"Amaranth Dal, Bisi Bele Bath, Egg Muffins, Kadhi with Rice, Poha, Tomato Shorba",34,8,11,10,364,Brisk Walking,Deep Fried Items,60+,East,29.4,"Include high-fiber foods like oats, vegetables, and legumes.",Sunday
Mild Retinopathy,Vegan,Lunch,"Barley Risotto, Chole with Bhatura, Egg Muffins, Paneer Bhurji, Sprouted Chana Salad, Stuffed Tinda",47,12,20,11,426,Stretching,Sugary Foods,36-45,North,28.2,"Eat small, frequent meals to maintain blood sugar levels.",Wednesday
Mild Retinopathy,Vegetarian,Lunch,"Grilled Salmon, Masala Egg Toast, Oats Chilla, Paneer Cutlet, Ragi Dosa, Sweet Corn Salad",42,12,20,7,292,Strength Training,Sugary Foods,18-25,West,29,Limit your intake of caffeine and alcohol.,Sunday
No retinopathy,Vegan,Dinner,"Chana Sundal, Chicken Stew, Egg Paratha, Masala Egg Toast, Pumpkin Soup, Sweet Potato Hash",45,8,10,10,473,Stretching,Deep Fried Items,18-25,East,18.3,Get enough sleep to support overall health.,Wednesday
No retinopathy,Vegetarian,Snacks,"Aloo Paratha, Dhokla, Lauki Kofta, Spinach Khichdi, Tofu Stir Fry, Vegetable Daliya",35,6,20,15,486,Brisk Walking,Deep Fried Items,36-45,South,23.9,Avoid skipping meals and maintain consistent meal timings.,Saturday
Severe Retinopathy,Vegan,Snacks,"Baingan Bharta, Barnyard Millet Pongal, Chickpea Curry, Egg Bhurji, Masala Idli, Roasted Foxnuts",31,6,13,8,286,Strength Training,Sugary Foods,18-25,East,27,Keep a food diary to monitor your eating habits.,Monday
Severe Retinopathy,Vegan,Snacks,"Jeera Rice, Masoor Dal, Moong Dal Chilla, Rava Idli, Roasted Foxnuts, Turkey Kebab",52,9,20,8,347,Brisk Walking,Sugary Foods,36-45,North,26.4,"Include high-fiber foods like oats, vegetables, and legumes.",Saturday
No retinopathy,Vegetarian,Breakfast,"Chickpea Curry, Egg Paratha, Millet Porridge, Multigrain Sandwich, Pumpkin Dal, Tandoori Chicken",30,8,20,8,331,Brisk Walking,Excess Salt,60+,South,21.6,Avoid skipping meals and maintain consistent meal timings.,Tuesday
Proliferative Retinopathy,Vegetarian,Dinner,"Coconut Chutney, Lauki Kofta, Masala Egg Toast, Masoor Dal, Multigrain Sandwich, Oats Chilla",53,13,18,10,455,Stretching,Deep Fried Items,60+,North,28.7,"Eat small, frequent meals to maintain blood sugar levels.",Tuesday
Severe Retinopathy,Vegetarian,Dinner,"Chicken Sandwich, Handvo, Lauki Curry, Oats Chilla, Pumpkin Dal, Vegetable Upma",46,10,19,5,336,Swimming,Excess Salt,60+,Central,25.6,Get enough sleep to support overall health.,Wednesday
No retinopathy,Vegan,Dinner,"Bajra Roti, Barley Risotto, Barnyard Millet Pongal, Egg Bhurji, Handvo, Quinoa Salad",49,8,17,9,447,Swimming,Soft Drinks,46-60,South,28.1,Stay hydrated and drink at least 8 glasses of water daily.,Sunday
Severe Retinopathy,Vegan,Lunch,"Chia Pudding, Egg Bhurji, Egg Muffins, Jeera Rice, Lauki Curry, Stuffed Capsicum",47,8,18,7,502,Strength Training,Soft Drinks,46-60,East,29.3,Keep a food diary to monitor your eating habits.,Sunday
Moderate Retinopathy,Vegetarian,Lunch,"Kadhi Pakora, Mutton Biryani, Paneer Bhurji, Roasted Foxnuts, Sweet Corn Salad, Turkey Kebab",38,6,17,7,370,Brisk Walking,Deep Fried Items,36-45,East,28,"Eat small, frequent meals to maintain blood sugar levels.",Saturday
Proliferative Retinopathy,Vegan,Lunch,"Grilled Salmon, Jeera Rice, Palak Kofta, Palak Paneer, Turkey Kebab, Vegetable Upma",37,13,21,5,387,Cycling,Processed Foods,36-45,South,23,Exercise regularly to maintain healthy weight and sugar levels.,Saturday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Almond Milk Smoothie, Barley Risotto, Bisi Bele Bath, Gatte ki Sabzi, Moong Dal Chilla, Rajma Curry",42,12,11,5,318,Strength Training,Sugary Foods,46-60,Central,30,Exercise regularly to maintain healthy weight and sugar levels.,Tuesday
Severe Retinopathy,Non Vegetarian,Dinner,"Bajra Roti, Barley Risotto, Bisi Bele Bath, Ragi Dosa, Roasted Foxnuts, Spinach Khichdi",37,13,18,13,287,Cycling,Refined Flour,60+,South,20.6,"Include high-fiber foods like oats, vegetables, and legumes.",Wednesday
No retinopathy,Non Vegetarian,Dinner,"Barnyard Millet Pongal, Boiled Egg Salad, Lauki Kofta, Paneer Cutlet, Quinoa Salad, Tandoori Chicken",36,10,8,10,403,Yoga,Soft Drinks,60+,North,18.7,Limit your intake of caffeine and alcohol.,Monday
No retinopathy,Non Vegetarian,Breakfast,"Aloo Paratha, Dhokla, Egg Muffins, Kadhi Pakora, Pumpkin Soup, Spinach Rice",33,7,9,8,420,Brisk Walking,Refined Flour,46-60,West,24.7,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
Severe Retinopathy,Non Vegetarian,Lunch,"Barnyard Millet Pongal, Chicken Sandwich, Palak Paneer, Paneer Cutlet, Rava Idli, Spinach Khichdi",42,8,18,10,440,Swimming,Processed Foods,18-25,East,28.6,Practice mindfulness and stress-reducing activities.,Wednesday
Mild Retinopathy,Vegetarian,Breakfast,"Kadhi Pakora, Masala Idli, Palak Paneer, Stuffed Tinda, Sweet Corn Salad, Turkey Kebab",50,10,15,12,481,Brisk Walking,Processed Foods,60+,East,24.2,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Saturday
Mild Retinopathy,Vegetarian,Breakfast,"Almond Milk Smoothie, Moong Dal Chilla, Mutton Seekh, Rava Idli, Stuffed Capsicum, Vegetable Upma",48,9,11,8,399,Stretching,Refined Flour,18-25,East,24.5,"Include high-fiber foods like oats, vegetables, and legumes.",Thursday
No retinopathy,Vegetarian,Breakfast,"Bisi Bele Bath, Masala Egg Toast, Masala Idli, Methi Paratha, Pumpkin Soup, Rava Idli",40,14,13,10,310,Strength Training,Refined Flour,26-35,West,28.8,Practice mindfulness and stress-reducing activities.,Tuesday
Proliferative Retinopathy,Vegetarian,Breakfast,"Fish Korma, Jeera Rice, Lauki Curry, Sprouted Chana Salad, Sweet Potato Hash, Tofu Bhurji",45,13,13,8,300,Strength Training,Excess Salt,36-45,East,18.7,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Saturday
Proliferative Retinopathy,Non Vegetarian,Snacks,"Masala Egg Toast, Methi Paratha, Paneer Bhurji, Paneer Cutlet, Rava Idli, Sprouted Chana Salad",42,8,22,6,487,Cycling,Soft Drinks,46-60,South,20.5,Stay hydrated and drink at least 8 glasses of water daily.,Monday
Proliferative Retinopathy,Vegan,Lunch,"Baingan Bharta, Cucumber Raita, Dhokla, Masala Egg Toast, Masala Papad, Poha",49,6,14,5,284,Stretching,Processed Foods,18-25,Central,26.1,"Include high-fiber foods like oats, vegetables, and legumes.",Saturday
Severe Retinopathy,Non Vegetarian,Snacks,"Lauki Curry, Masoor Dal, Millet Porridge, Moong Dal Chilla, Mutton Biryani, Vegetable Upma",52,9,9,6,375,Stretching,Sugary Foods,26-35,North,18.9,Stay hydrated and drink at least 8 glasses of water daily.,Saturday
Mild Retinopathy,Non Vegetarian,Breakfast,"Fish Korma, Gatte ki Sabzi, Moong Dal Chilla, Mutton Seekh, Palak Kofta, Paneer Cutlet",52,11,12,8,447,Strength Training,Sugary Foods,46-60,Central,28.4,Stay hydrated and drink at least 8 glasses of water daily.,Monday
Severe Retinopathy,Vegetarian,Dinner,"Cabbage Stir Fry, Moong Dal Chilla, Mutton Seekh, Paneer Bhurji, Sweet Corn Salad, Tofu Stir Fry",48,9,11,8,374,Yoga,Processed Foods,46-60,Central,20.3,Get enough sleep to support overall health.,Monday
Mild Retinopathy,Vegan,Breakfast,"Egg Paratha, Handvo, Millet Porridge, Oats Idli, Roasted Foxnuts, Sweet Potato Hash",46,14,10,14,404,Brisk Walking,Sugary Foods,60+,South,19.9,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
No retinopathy,Non Vegetarian,Lunch,"Barley Risotto, Coconut Chutney, Grilled Salmon, Lauki Kofta, Stuffed Capsicum, Sweet Potato Hash",33,10,8,7,364,Brisk Walking,Excess Salt,26-35,West,19.6,Practice mindfulness and stress-reducing activities.,Monday
Moderate Retinopathy,Non Vegetarian,Dinner,"Bisi Bele Bath, Chana Sundal, Cucumber Raita, Tandoori Chicken, Tofu Bhurji, Vegetable Handvo",37,8,21,11,273,Brisk Walking,Sugary Foods,18-25,Central,23,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Monday
Moderate Retinopathy,Non Vegetarian,Dinner,"Amaranth Dal, Barnyard Millet Pongal, Chicken Sandwich, Chickpea Curry, Chole with Bhatura, Poha",30,8,20,9,270,Yoga,Deep Fried Items,26-35,Central,18.4,Limit your intake of caffeine and alcohol.,Thursday
Moderate Retinopathy,Non Vegetarian,Snacks,"Coconut Chutney, Gatte ki Sabzi, Green Gram Curry, Oats Chilla, Paneer Cutlet, Spinach Khichdi",38,8,18,5,430,Stretching,Deep Fried Items,36-45,Central,22,Exercise regularly to maintain healthy weight and sugar levels.,Friday
Mild Retinopathy,Vegan,Lunch,"Barley Risotto, Chana Sundal, Masala Makhanas, Masala Papad, Paneer Bhurji, Rava Idli",35,7,22,5,300,Cycling,Deep Fried Items,18-25,West,24,Limit your intake of caffeine and alcohol.,Tuesday
Mild Retinopathy,Non Vegetarian,Dinner,"Avocado Toast, Baingan Bharta, Paneer Bhurji, Pumpkin Soup, Roasted Foxnuts, Vegan Pancakes",49,13,16,5,411,Stretching,Deep Fried Items,36-45,Central,25.2,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Sunday
Severe Retinopathy,Vegan,Snacks,"Baingan Bharta, Daliya Upma, Millet Porridge, Palak Paneer, Stuffed Capsicum, Vegan Dum Biryani",35,12,21,13,250,Strength Training,Processed Foods,36-45,West,26.1,Avoid skipping meals and maintain consistent meal timings.,Tuesday
Proliferative Retinopathy,Vegan,Snacks,"Chole with Bhatura, Green Gram Curry, Rava Idli, Spinach Rice, Sweet Corn Salad, Tandoori Chicken",45,8,14,10,288,Strength Training,Sugary Foods,18-25,South,28.9,Stay hydrated and drink at least 8 glasses of water daily.,Monday
Moderate Retinopathy,Non Vegetarian,Lunch,"Avocado Toast, Egg Paratha, Kadhi Pakora, Keema Pulao, Lauki Kofta, Oats Idli",53,12,20,11,399,Strength Training,Processed Foods,18-25,West,26.9,"Eat small, frequent meals to maintain blood sugar levels.",Friday
Mild Retinopathy,Vegan,Snacks,"Baingan Bharta, Cucumber Raita, Moong Dal Chilla, Oats Chilla, Rava Idli, Tofu Bhurji",33,14,13,11,510,Strength Training,Deep Fried Items,26-35,East,22.3,Avoid skipping meals and maintain consistent meal timings.,Wednesday
Moderate Retinopathy,Non Vegetarian,Snacks,"Aloo Paratha, Baingan Bharta, Egg Paratha, Palak Paneer, Stuffed Capsicum, Vegan Dum Biryani",45,8,10,13,284,Strength Training,Refined Flour,18-25,Central,27.2,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Saturday
Moderate Retinopathy,Vegan,Dinner,"Bisi Bele Bath, Grilled Salmon, Kadhi Pakora, Rajma Curry, Sprouted Chana Salad, Tofu Bhurji",33,9,13,11,460,Strength Training,Sugary Foods,18-25,North,28.6,Keep a food diary to monitor your eating habits.,Monday
Mild Retinopathy,Non Vegetarian,Snacks,"Barley Risotto, Cabbage Stir Fry, Fish Curry, Methi Thepla, Moong Dal Chilla, Mutton Biryani",37,10,13,8,464,Strength Training,Sugary Foods,18-25,Central,25.3,Stay hydrated and drink at least 8 glasses of water daily.,Tuesday
No retinopathy,Vegetarian,Breakfast,"Baingan Bharta, Bajra Roti, Chana Sundal, Cucumber Raita, Lauki Kofta, Methi Thepla",32,8,15,7,396,Cycling,Processed Foods,26-35,South,25.9,Stay hydrated and drink at least 8 glasses of water daily.,Tuesday
Mild Retinopathy,Vegan,Breakfast,"Aloo Paratha, Kadhi with Rice, Methi Paratha, Oats Idli, Spinach Rice, Vegan Pancakes",52,13,18,6,490,Yoga,Sugary Foods,60+,East,25.4,Get enough sleep to support overall health.,Wednesday
Moderate Retinopathy,Vegan,Breakfast,"Almond Milk Smoothie, Coconut Chutney, Daliya Upma, Fish Curry, Ragi Dosa, Spinach Rice",30,13,12,14,284,Brisk Walking,Processed Foods,60+,Central,26.4,Get enough sleep to support overall health.,Monday
Proliferative Retinopathy,Vegetarian,Breakfast,"Chicken Stew, Dhokla, Masala Makhanas, Masala Papad, Palak Paneer, Spinach Rice",48,7,19,7,442,Stretching,Processed Foods,36-45,East,19,Keep a food diary to monitor your eating habits.,Thursday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Aloo Paratha, Chicken Sandwich, Egg Paratha, Fish Korma, Methi Thepla, Tofu Bhurji",55,11,21,8,461,Brisk Walking,Processed Foods,18-25,Central,20.3,"Include high-fiber foods like oats, vegetables, and legumes.",Sunday
Mild Retinopathy,Vegetarian,Lunch,"Dhokla, Grilled Salmon, Palak Paneer, Pumpkin Soup, Stuffed Capsicum, Vegan Pancakes",38,12,17,7,444,Yoga,Sugary Foods,26-35,East,27.3,Limit your intake of caffeine and alcohol.,Saturday
No retinopathy,Vegan,Dinner,"Fish Curry, Masala Idli, Palak Kofta, Paneer Cutlet, Vegetable Daliya, Vegetable Upma",30,13,9,7,473,Swimming,Deep Fried Items,60+,South,27.4,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
Proliferative Retinopathy,Vegan,Dinner,"Boiled Egg Salad, Cabbage Stir Fry, Chana Sundal, Keema Pulao, Tomato Shorba, Vegetable Handvo",37,14,19,12,283,Cycling,Sugary Foods,26-35,South,24.3,"Eat small, frequent meals to maintain blood sugar levels.",Thursday
Mild Retinopathy,Vegetarian,Dinner,"Almond Milk Smoothie, Aloo Paratha, Bajra Roti, Fish Curry, Handvo, Masala Egg Toast",30,7,9,13,394,Swimming,Soft Drinks,18-25,South,19.5,Limit your intake of caffeine and alcohol.,Wednesday
Proliferative Retinopathy,Vegan,Lunch,"Aloo Paratha, Avocado Toast, Barnyard Millet Pongal, Egg Bhurji, Kadhi Pakora, Stuffed Capsicum",44,14,9,12,415,Yoga,Processed Foods,46-60,Central,24.3,Stay hydrated and drink at least 8 glasses of water daily.,Thursday
Severe Retinopathy,Vegan,Dinner,"Masala Makhanas, Millet Porridge, Spinach Khichdi, Stuffed Tinda, Tofu Stir Fry, Vegetable Daliya",43,8,21,5,436,Yoga,Deep Fried Items,46-60,Central,26.7,Practice mindfulness and stress-reducing activities.,Sunday
Mild Retinopathy,Vegan,Lunch,"Avocado Toast, Cucumber Raita, Grilled Salmon, Methi Thepla, Multigrain Sandwich, Poha",37,13,20,14,250,Yoga,Refined Flour,60+,West,19.2,Exercise regularly to maintain healthy weight and sugar levels.,Thursday
Severe Retinopathy,Vegetarian,Snacks,"Barnyard Millet Pongal, Chole with Bhatura, Egg Bhurji, Palak Kofta, Poha, Rava Idli",47,11,16,11,486,Cycling,Deep Fried Items,18-25,North,18.1,"Eat small, frequent meals to maintain blood sugar levels.",Friday
No retinopathy,Vegan,Lunch,"Chole with Bhatura, Lauki Kofta, Masala Papad, Oats Idli, Rava Idli, Vegetable Daliya",52,10,20,12,279,Yoga,Soft Drinks,36-45,East,19,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
Severe Retinopathy,Non Vegetarian,Breakfast,"Boiled Egg Salad, Chole with Bhatura, Pumpkin Soup, Quinoa Salad, Rava Idli, Tofu Bhurji",50,13,22,12,307,Stretching,Deep Fried Items,36-45,West,29.4,"Eat small, frequent meals to maintain blood sugar levels.",Saturday
Mild Retinopathy,Non Vegetarian,Lunch,"Almond Milk Smoothie, Avocado Toast, Kadhi with Rice, Lauki Curry, Oats Idli, Tofu Bhurji",53,7,8,7,304,Strength Training,Deep Fried Items,18-25,East,29.5,Stay hydrated and drink at least 8 glasses of water daily.,Sunday
No retinopathy,Vegan,Lunch,"Chana Sundal, Cucumber Raita, Kadhi with Rice, Palak Paneer, Paneer Bhurji, Pumpkin Soup",46,13,20,9,515,Swimming,Sugary Foods,36-45,South,27,Keep a food diary to monitor your eating habits.,Monday
No retinopathy,Non Vegetarian,Breakfast,"Methi Paratha, Mutton Biryani, Ragi Dosa, Sweet Corn Salad, Tandoori Chicken, Vegan Pancakes",44,14,10,5,383,Brisk Walking,Soft Drinks,18-25,North,21.1,Stay hydrated and drink at least 8 glasses of water daily.,Saturday
Moderate Retinopathy,Vegan,Dinner,"Daliya Upma, Dhokla, Fish Curry, Green Gram Curry, Masala Makhanas, Moong Dal Chilla",46,14,12,8,368,Brisk Walking,Excess Salt,26-35,East,29,"Eat small, frequent meals to maintain blood sugar levels.",Saturday
Mild Retinopathy,Vegetarian,Breakfast,"Bisi Bele Bath, Chicken Sandwich, Oats Idli, Roasted Foxnuts, Spinach Rice, Vegan Dum Biryani",49,12,22,10,399,Strength Training,Processed Foods,36-45,Central,26.1,Exercise regularly to maintain healthy weight and sugar levels.,Sunday
Severe Retinopathy,Vegan,Snacks,"Boiled Egg Salad, Masala Idli, Moong Dal Chilla, Oats Idli, Tofu Stir Fry, Vegan Dum Biryani",53,10,21,10,435,Stretching,Refined Flour,46-60,West,21.1,"Eat small, frequent meals to maintain blood sugar levels.",Saturday
Moderate Retinopathy,Vegan,Dinner,"Coconut Chutney, Keema Pulao, Masala Papad, Masoor Dal, Multigrain Sandwich, Pumpkin Soup",31,6,20,13,435,Stretching,Deep Fried Items,46-60,North,21.7,"Eat small, frequent meals to maintain blood sugar levels.",Friday
Mild Retinopathy,Non Vegetarian,Snacks,"Gatte ki Sabzi, Kadhi with Rice, Keema Pulao, Masoor Dal, Rava Idli, Vegan Pancakes",36,8,14,12,410,Strength Training,Processed Foods,60+,Central,23.9,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Thursday
Mild Retinopathy,Vegan,Dinner,"Amaranth Dal, Bisi Bele Bath, Gatte ki Sabzi, Oats Chilla, Ragi Dosa, Vegan Dum Biryani",46,14,20,10,270,Brisk Walking,Deep Fried Items,46-60,West,23.4,Keep a food diary to monitor your eating habits.,Sunday
No retinopathy,Non Vegetarian,Dinner,"Chickpea Curry, Methi Thepla, Rajma Pulao, Rava Idli, Sprouted Chana Salad, Tofu Stir Fry",37,9,22,7,436,Strength Training,Excess Salt,36-45,East,29.4,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
Mild Retinopathy,Vegetarian,Dinner,"Avocado Toast, Chana Sundal, Egg Bhurji, Lauki Curry, Millet Porridge, Sprouted Chana Salad",35,6,13,10,511,Stretching,Processed Foods,60+,Central,24.5,Get enough sleep to support overall health.,Thursday
No retinopathy,Non Vegetarian,Snacks,"Boiled Egg Salad, Palak Kofta, Palak Paneer, Quinoa Salad, Roasted Foxnuts, Stuffed Capsicum",38,10,13,10,404,Stretching,Refined Flour,18-25,South,21.8,"Include high-fiber foods like oats, vegetables, and legumes.",Monday
Proliferative Retinopathy,Vegetarian,Snacks,"Daliya Upma, Poha, Pumpkin Dal, Spinach Khichdi, Stuffed Tinda, Vegetable Upma",46,7,17,12,263,Yoga,Processed Foods,26-35,East,27.9,"Include high-fiber foods like oats, vegetables, and legumes.",Friday
Proliferative Retinopathy,Vegan,Snacks,"Aloo Paratha, Chana Sundal, Grilled Salmon, Masala Egg Toast, Millet Porridge, Ragi Dosa",45,8,11,5,475,Strength Training,Sugary Foods,60+,East,29.5,Get enough sleep to support overall health.,Thursday
